ae_id,matter_number,title,company_name,abn,industry,published_date,expires,date_signed,term_start,term_end,confidence_super,ocr,no_default_named,fund_name,fund_abn,fund_usi,fund_source,detail_url,pdf_url
AE525841,AG2026/912,Application for approval of the Takwood Pty Ltd Curtis Island Operations and Maintenance Enterprise Agreement 2024,Takwood Pty Ltd,43062921126,"Building, metal and civil construction industries",2026-05-08,2027-08-20,,2023-06-06,2027-08-20,high,0,0,AustralianSuper,65714394898,STA0100AU,,https://www.fwc.gov.au/document-view/agreements/application-for-approval-of-the-takwood-pty-ltd-curtis-island-operations?from=search,https://www.fwc.gov.au/document-view/media/download/220628
AE532166,AG2025/4615,Adbri Cement Klein Point Mine Enterprise Agreement 2025,Adbri Limited,15007596018,Cement and concrete products,2026-05-01,2028-06-30,,2026-03-11,2028-06-30,high,0,0,Mercer Super Trust,19905422981,19905422981046,,https://www.fwc.gov.au/document-view/agreements/adbri-cement-klein-point-mine-enterprise-agreement-2025?from=search,https://www.fwc.gov.au/document-view/media/download/829111
AE531882,AG2026/821,VMCH Aged Care Services Agreement 2025,Villa Maria Catholic Homes Limited,32004364103,Aged care industry,2026-04-28,2029-06-30,2026-01-27,,2029-06-30,low,0,0,,,,,https://www.fwc.gov.au/document-view/agreements/vmch-aged-care-services-agreement-2025?from=search,https://www.fwc.gov.au/documents/agreements/approved/ae531882.pdf
AE532546,AG2026/877,"Westmont Aged Care Services Ltd, ANMF and HWU Enterprise Agreement 2025–2029",Westmont Aged Care Services Ltd,,Aged care industry,2026-04-22,2029-03-31,2026-04-21,,2029-03-31,high,0,0,HESTA,64971749321,HST0100AU,,https://www.fwc.gov.au/document-view/agreements/westmont-aged-care-services-ltd-anmf-and-hwu-enterprise-agreement-2025?from=search,https://www.fwc.gov.au/document-view/media/download/847873
AE525775,AG2024/2901,Daly’s Constructions (Aust) Pty Ltd & ETU Powerline Enterprise Agreement 2023-2026,Daly's Construction (Aust) Pty Ltd,,Plumbing industry,2026-04-21,2026-08-31,,,2026-08-31,high,0,0,ESSSuper,85894637037,ESS0003AU,,https://www.fwc.gov.au/document-view/agreements/dalys-constructions-aust-pty-ltd-etu-powerline-enterprise-agreement-2023?from=search,https://www.fwc.gov.au/document-view/media/download/220722
AE526910,AG2024/4244,Richard Crookes Constructions Pty. Limited / CFMEU Collective Agreement 2024-2027,Richard Crookes Constructions Pty. Limited,33001375266,"Building, metal and civil construction industries",2026-04-21,2027-07-04,2024-10-15,2024-12-05,2027-07-04,high,0,0,Cbus,75493363262,CBU0100AU,,https://www.fwc.gov.au/document-view/agreements/richard-crookes-constructions-pty-limited-cfmeu-collective-agreement-2024?from=search,https://www.fwc.gov.au/document-view/media/download/219501
AE526191,AG2024/3138,Qanstruct (Aust) Pty. Ltd. / CFMEU Collective Agreement 2024-2027,Qanstruct (Aust) Pty Ltd As Trustee Of Qanstruct (Aust) Unit Trust,88765907859,"Building, metal and civil construction industries",2026-04-21,2027-07-04,2024-08-07,,2027-07-04,high,0,0,Cbus,75493363262,CBU0100AU,,https://www.fwc.gov.au/document-view/agreements/qanstruct-aust-pty-ltd-cfmeu-collective-agreement-2024-2027?from=search,https://www.fwc.gov.au/document-view/media/download/220283
AE526331,AG2024/2915,Multiplex Australasia Pty Ltd / CFMEU Collective Agreement 2024-2027,Multiplex Australasia Pty Ltd,33146787395,"Building, metal and civil construction industries",2026-04-21,2027-07-04,2024-07-22,2023-06-06,2027-07-04,high,0,0,Cbus,75493363262,CBU0100AU,,https://www.fwc.gov.au/document-view/agreements/multiplex-australasia-pty-ltd-cfmeu-collective-agreement-2024-2027?from=search,https://www.fwc.gov.au/document-view/media/download/220155
AE526368,AG2024/3790,Mainbrace Constructions Pty Limited / CFMEU Collective Agreement 2024-2027,Mainbrace Constructions Pty Limited,45002970658,"Building, metal and civil construction industries",2026-04-21,2027-07-04,2024-09-26,,2027-07-04,high,0,0,Cbus,75493363262,CBU0100AU,,https://www.fwc.gov.au/document-view/agreements/mainbrace-constructions-pty-limited-cfmeu-collective-agreement-2024-2027?from=search,https://www.fwc.gov.au/document-view/media/download/220100
AE526106,AG2024/2739,Lendlease Construction / CFMEU (New South Wales and Australian Capital Territory) Collective Agreement 2024,Lendlease Construction (Southern) Pty Limited,56002625130,"Building, metal and civil construction industries",2026-04-21,2027-07-04,2024-07-19,2023-06-06,2027-07-04,low,0,0,,,,,https://www.fwc.gov.au/document-view/agreements/lendlease-construction-cfmeu-new-south-wales-and-australian-capital?from=search,https://www.fwc.gov.au/document-view/media/download/220344
AE526192,AG2024/3139,"Ports, Harbours and Enclosed Water Vessels Award 2020",J Hutchinson Pty Ltd,,Industries not otherwise assigned,2026-04-21,2027-07-04,2024-08-06,,2027-07-04,high,0,0,Cbus,75493363262,CBU0100AU,,https://www.fwc.gov.au/document-view/agreements/ports-harbours-and-enclosed-water-vessels-award-2020?from=search,https://www.fwc.gov.au/document-view/media/download/220279
AE526277,AG2024/2888,Hindmarsh Construction Australia Pty Ltd / CFMEU Collective Agreement 2024-2027,Hindmarsh Construction Australia Pty Ltd,15126578176,"Building, metal and civil construction industries",2026-04-21,2027-07-04,2024-07-30,2024-10-10,2027-07-04,high,0,0,Cbus,75493363262,CBU0100AU,,https://www.fwc.gov.au/document-view/agreements/hindmarsh-construction-australia-pty-ltd-cfmeu-collective-agreement-2024?from=search,https://www.fwc.gov.au/document-view/media/download/220197
